# Pick&Place Position Data File
#
# Project Name:        kbdkid3
# Project Version:     v1
# Board Name:          reversible
# Generation Software: LibrePCB 2.1.1
# Generation Date:     2026-06-30T21:48:08
# Unit:                mm
# Rotation:            Degrees CCW
# Board Side:          Bottom
# Assembly Types:      THT, SMT, THT+SMT, Fiducial, Other

Designator,Value,Device,Package,Position X,Position Y,Rotation,Side,Type
D203,Diode SOD123,Diode SOD123,SOD3717X135,123.34875,14.2875,180.0,Bottom,SMT
D210,Diode SOD123,Diode SOD123,SOD3717X135,104.29875,73.81875,180.0,Bottom,SMT
D211,Diode SOD123,Diode SOD123,SOD3717X135,104.29875,54.76875,180.0,Bottom,SMT
D212,Diode SOD123,Diode SOD123,SOD3717X135,104.29875,35.71875,180.0,Bottom,SMT
D213,Diode SOD123,Diode SOD123,SOD3717X135,104.29875,16.66875,180.0,Bottom,SMT
D220,Diode SOD123,Diode SOD123,SOD3717X135,85.24875,76.2,180.0,Bottom,SMT
D221,Diode SOD123,Diode SOD123,SOD3717X135,85.24875,57.15,180.0,Bottom,SMT
D222,Diode SOD123,Diode SOD123,SOD3717X135,85.24875,38.1,180.0,Bottom,SMT
D223,Diode SOD123,Diode SOD123,SOD3717X135,85.24875,19.05,180.0,Bottom,SMT
D230,Diode SOD123,Diode SOD123,SOD3717X135,66.19875,78.58125,180.0,Bottom,SMT
D231,Diode SOD123,Diode SOD123,SOD3717X135,66.19875,59.53125,180.0,Bottom,SMT
D232,Diode SOD123,Diode SOD123,SOD3717X135,66.19875,40.48125,180.0,Bottom,SMT
D233,Diode SOD123,Diode SOD123,SOD3717X135,66.19875,21.43125,180.0,Bottom,SMT
D240,Diode SOD123,Diode SOD123,SOD3717X135,47.14875,76.2,180.0,Bottom,SMT
D241,Diode SOD123,Diode SOD123,SOD3717X135,47.14875,57.15,180.0,Bottom,SMT
D242,Diode SOD123,Diode SOD123,SOD3717X135,47.14875,38.1,180.0,Bottom,SMT
D243,Diode SOD123,Diode SOD123,SOD3717X135,47.14875,19.05,180.0,Bottom,SMT
D250,Diode SOD123,Diode SOD123,SOD3717X135,28.09875,71.4375,180.0,Bottom,SMT
D251,Diode SOD123,Diode SOD123,SOD3717X135,28.09875,52.3875,180.0,Bottom,SMT
D252,Diode SOD123,Diode SOD123,SOD3717X135,28.09875,33.3375,180.0,Bottom,SMT
D253,Diode SOD123,Diode SOD123,SOD3717X135,28.09875,14.2875,180.0,Bottom,SMT
D260,Diode SOD123,Diode SOD123,SOD3717X135,9.04875,71.4375,180.0,Bottom,SMT
D261,Diode SOD123,Diode SOD123,SOD3717X135,9.04875,52.3875,180.0,Bottom,SMT
D262,Diode SOD123,Diode SOD123,SOD3717X135,9.04875,33.3375,180.0,Bottom,SMT
D263,Diode SOD123,Diode SOD123,SOD3717X135,9.04875,14.2875,180.0,Bottom,SMT
DS2,nice!view,nice!view,NICE_NICEVIEW,124.84875,22.5425,90.0,Bottom,THT
J2,,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,118.824375,66.436875,180.0,Bottom,THT
JP24,Solder Jumper 2P 2512 (1005),Solder Jumper 2P 2512 (1005),SOLDERJUMPER2X2512 (1005),129.92875,32.7025,0.0,Bottom,SMT
JP25,Solder Jumper 2P 2512 (1005),Solder Jumper 2P 2512 (1005),SOLDERJUMPER2X2512 (1005),119.76875,30.1625,180.0,Bottom,SMT
JP26,Solder Jumper 2P 2512 (1005),Solder Jumper 2P 2512 (1005),SOLDERJUMPER2X2512 (1005),129.92875,45.4025,0.0,Bottom,SMT
JP27,Solder Jumper 2P 2512 (1005),Solder Jumper 2P 2512 (1005),SOLDERJUMPER2X2512 (1005),129.92875,25.0825,90.0,Bottom,SMT
JP28,Solder Jumper 2P 2512 (1005),Solder Jumper 2P 2512 (1005),SOLDERJUMPER2X2512 (1005),127.38875,25.0825,90.0,Bottom,SMT
JP29,Solder Jumper 2P 2512 (1005),Solder Jumper 2P 2512 (1005),SOLDERJUMPER2X2512 (1005),129.92875,40.3225,0.0,Bottom,SMT
JP30,Solder Jumper 2P 2512 (1005),Solder Jumper 2P 2512 (1005),SOLDERJUMPER2X2512 (1005),119.76875,55.5625,180.0,Bottom,SMT
JP31,Solder Jumper 2P 2512 (1005),Solder Jumper 2P 2512 (1005),SOLDERJUMPER2X2512 (1005),119.76875,27.6225,180.0,Bottom,SMT
JP32,Solder Jumper 2P 2512 (1005),Solder Jumper 2P 2512 (1005),SOLDERJUMPER2X2512 (1005),129.92875,37.7825,0.0,Bottom,SMT
JP33,Solder Jumper 2P 2512 (1005),Solder Jumper 2P 2512 (1005),SOLDERJUMPER2X2512 (1005),129.92875,30.1625,0.0,Bottom,SMT
JP34,Solder Jumper 2P 2512 (1005),Solder Jumper 2P 2512 (1005),SOLDERJUMPER2X2512 (1005),129.92875,42.8625,0.0,Bottom,SMT
JP35,Solder Jumper 2P 2512 (1005),Solder Jumper 2P 2512 (1005),SOLDERJUMPER2X2512 (1005),124.84875,25.0825,90.0,Bottom,SMT
JP36,Solder Jumper 2P 2512 (1005),Solder Jumper 2P 2512 (1005),SOLDERJUMPER2X2512 (1005),119.76875,42.8625,180.0,Bottom,SMT
JP37,Solder Jumper 2P 2512 (1005),Solder Jumper 2P 2512 (1005),SOLDERJUMPER2X2512 (1005),129.92875,27.6225,0.0,Bottom,SMT
JP38,Solder Jumper 2P 2512 (1005),Solder Jumper 2P 2512 (1005),SOLDERJUMPER2X2512 (1005),119.76875,47.9425,180.0,Bottom,SMT
JP39,Solder Jumper 2P 2512 (1005),Solder Jumper 2P 2512 (1005),SOLDERJUMPER2X2512 (1005),119.76875,32.7025,180.0,Bottom,SMT
JP40,Solder Jumper 2P 2512 (1005),Solder Jumper 2P 2512 (1005),SOLDERJUMPER2X2512 (1005),129.92875,50.4825,0.0,Bottom,SMT
JP41,Solder Jumper 2P 2512 (1005),Solder Jumper 2P 2512 (1005),SOLDERJUMPER2X2512 (1005),119.76875,25.0825,90.0,Bottom,SMT
JP42,Solder Jumper 2P 2512 (1005),Solder Jumper 2P 2512 (1005),SOLDERJUMPER2X2512 (1005),129.92875,47.9425,0.0,Bottom,SMT
JP43,Solder Jumper 2P 2512 (1005),Solder Jumper 2P 2512 (1005),SOLDERJUMPER2X2512 (1005),129.92875,35.2425,0.0,Bottom,SMT
JP44,Solder Jumper 2P 2512 (1005),Solder Jumper 2P 2512 (1005),SOLDERJUMPER2X2512 (1005),129.92875,55.5625,0.0,Bottom,SMT
JP45,Solder Jumper 2P 2512 (1005),Solder Jumper 2P 2512 (1005),SOLDERJUMPER2X2512 (1005),122.30875,25.0825,90.0,Bottom,SMT
JP46,Solder Jumper 2P 2512 (1005),Solder Jumper 2P 2512 (1005),SOLDERJUMPER2X2512 (1005),119.76875,45.4025,180.0,Bottom,SMT
JP49,Solder Jumper 2P 2512 (1005),Solder Jumper 2P 2512 (1005),SOLDERJUMPER2X2512 (1005),117.554375,61.356875,270.0,Bottom,SMT
JP50,Solder Jumper 2P 2512 (1005),Solder Jumper 2P 2512 (1005),SOLDERJUMPER2X2512 (1005),120.094375,61.356875,270.0,Bottom,SMT
JP53,Solder Jumper 2P 2512 (1005),Solder Jumper 2P 2512 (1005),SOLDERJUMPER2X2512 (1005),129.92875,53.0225,0.0,Bottom,SMT
JP54,Solder Jumper 2P 2512 (1005),Solder Jumper 2P 2512 (1005),SOLDERJUMPER2X2512 (1005),119.76875,50.4825,180.0,Bottom,SMT
S2,SSSS811101,SSSS811101,ALPSALPINE_SSSS811101,128.825625,67.15125,251.0,Bottom,SMT
S203,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,123.34875,9.2075,90.0,Bottom,SMT
S210,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,104.29875,68.73875,90.0,Bottom,SMT
S211,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,104.29875,49.68875,90.0,Bottom,SMT
S212,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,104.29875,30.63875,90.0,Bottom,SMT
S213,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,104.29875,11.58875,90.0,Bottom,SMT
S220,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,85.24875,71.12,90.0,Bottom,SMT
S221,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,85.24875,52.07,90.0,Bottom,SMT
S222,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,85.24875,33.02,90.0,Bottom,SMT
S223,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,85.24875,13.97,90.0,Bottom,SMT
S230,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,66.19875,73.50125,90.0,Bottom,SMT
S231,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,66.19875,54.45125,90.0,Bottom,SMT
S232,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,66.19875,35.40125,90.0,Bottom,SMT
S233,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,66.19875,16.35125,90.0,Bottom,SMT
S240,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,47.14875,71.12,90.0,Bottom,SMT
S241,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,47.14875,52.07,90.0,Bottom,SMT
S242,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,47.14875,33.02,90.0,Bottom,SMT
S243,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,47.14875,13.97,90.0,Bottom,SMT
S250,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,28.09875,66.3575,90.0,Bottom,SMT
S251,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,28.09875,47.3075,90.0,Bottom,SMT
S252,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,28.09875,28.2575,90.0,Bottom,SMT
S253,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,28.09875,9.2075,90.0,Bottom,SMT
S260,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,9.04875,66.3575,90.0,Bottom,SMT
S261,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,9.04875,47.3075,90.0,Bottom,SMT
S262,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,9.04875,28.2575,90.0,Bottom,SMT
S263,PG1350 Kailh Choc V1,PG1350 Kailh Choc V1,KHA-PG1350,9.04875,9.2075,90.0,Bottom,SMT
S4,B3U-1000P(M),B3U-1000P(M),OMRON_B3U-1000P(M),124.221875,62.309375,270.0,Bottom,SMT
U2,nice!nano v2.0,nice!nano v2.0,NICE_NICENANO,124.84875,41.5925,0.0,Bottom,THT
