# Pick&Place Position Data File
#
# Project Name:        kbdkid3
# Project Version:     v1
# Board Name:          reversible
# Generation Software: LibrePCB 2.1.1
# Generation Date:     2026-06-30T21:54:53
# Unit:                mm
# Rotation:            Degrees CCW
# Board Side:          Top
# Assembly Types:      THT, SMT, THT+SMT, Fiducial, Other

Designator,Value,Device,Package,Position X,Position Y,Rotation,Side,Type
D100,Diode SOD123,Diode SOD123,SOD3717X135,9.04875,71.4375,180.0,Top,SMT
D101,Diode SOD123,Diode SOD123,SOD3717X135,9.04875,52.3875,180.0,Top,SMT
D102,Diode SOD123,Diode SOD123,SOD3717X135,9.04875,33.3375,180.0,Top,SMT
D103,Diode SOD123,Diode SOD123,SOD3717X135,9.04875,14.2875,180.0,Top,SMT
D110,Diode SOD123,Diode SOD123,SOD3717X135,28.09875,71.4375,180.0,Top,SMT
D111,Diode SOD123,Diode SOD123,SOD3717X135,28.09875,52.3875,180.0,Top,SMT
D112,Diode SOD123,Diode SOD123,SOD3717X135,28.09875,33.3375,180.0,Top,SMT
D113,Diode SOD123,Diode SOD123,SOD3717X135,28.09875,14.2875,180.0,Top,SMT
D120,Diode SOD123,Diode SOD123,SOD3717X135,47.14875,76.2,180.0,Top,SMT
D121,Diode SOD123,Diode SOD123,SOD3717X135,47.14875,57.15,180.0,Top,SMT
D122,Diode SOD123,Diode SOD123,SOD3717X135,47.14875,38.1,180.0,Top,SMT
D123,Diode SOD123,Diode SOD123,SOD3717X135,47.14875,19.05,180.0,Top,SMT
D130,Diode SOD123,Diode SOD123,SOD3717X135,66.19875,78.58125,180.0,Top,SMT
D131,Diode SOD123,Diode SOD123,SOD3717X135,66.19875,59.53125,180.0,Top,SMT
D132,Diode SOD123,Diode SOD123,SOD3717X135,66.19875,40.48125,180.0,Top,SMT
D133,Diode SOD123,Diode SOD123,SOD3717X135,66.19875,21.43125,180.0,Top,SMT
D140,Diode SOD123,Diode SOD123,SOD3717X135,85.24875,76.2,180.0,Top,SMT
D141,Diode SOD123,Diode SOD123,SOD3717X135,85.24875,57.15,180.0,Top,SMT
D142,Diode SOD123,Diode SOD123,SOD3717X135,85.24875,38.1,180.0,Top,SMT
D143,Diode SOD123,Diode SOD123,SOD3717X135,85.24875,19.05,180.0,Top,SMT
D150,Diode SOD123,Diode SOD123,SOD3717X135,104.29875,73.81875,180.0,Top,SMT
D151,Diode SOD123,Diode SOD123,SOD3717X135,104.29875,54.76875,180.0,Top,SMT
